question,answer
How many urls did we scan?,14963
How many agency owners are represented?,138
How many bureau owners are represented?,500
How many domains did we scan?,1105
How many final urls are represented?,13300
How many final domains are represented?,877
How many urls are from the executive branch?,14263
How many urls are from the legislative branch?,637
How many urls are from the judicial branch?,63
How many home scans completed?,14963
How many home scans failed?,0
How many home scans failed because of a refused connection?,0
How many home scans failed because of a reset connection?,0
How many home scans failed because of dns resolution?,0
How many home scans failed because of invalid ssl certs?,0
How many home scans failed because of timeouts?,0
How many home scans failed for unknown reasons?,0
How many final urls are html files?,14873
How many final urls are text files?,10
How many final urls are json files?,0
How many final urls are xml files?,0
How many final urls are another filetype?,80
How many urls return a 2xx server code?,14963
How many urls return a 3xx server code?,0
How many urls return a 4xx server code?,0
How many urls return a 5xx server code?,0
How many urls pass the 404 test?,9234
How many urls fail the 404 test?,5434
How many not found scans completed?,14668
How many not found scans failed?,295
How many robots.txt scans completed?,14541
How many robots.txt scans failed?,422
How many sitemap.xml scans completed?,6445
How many sitemap.xml scans failed?,8518
How many DNS scans completed?,14963
How many DNS scans failed?,0
How many urls have a uswds count below 50?,11909
How many urls have a uswds count 51-100?,1315
How many urls have a uswds count 101-150?,581
How many urls have a uswds count 151+?,1147
How many urls have dap detected?,6985
How many urls don't have dap detected?,7978
How many urls weren't scanned for DAP (failed scans)?,0
How many urls have an og_title?,4179
How many urls have an og_description?,3120
How many urls have an og_title but don't have an og_description?,1087
How many urls have an og_description but don't have an og_title?,28
How many urls have an og_article_published?,256
How many urls have an og_article_modified?,689
How many urls have a main_element_present?,5720
How many urls don't have main_element_present_final_url?,9243
How many urls have a robots.txt detected?,5990
How many urls return a 2xx server code for their robots.txt?,9055
How many urls return a 3xx server code for their robots.txt?,0
How many urls return a 4xx server code for their robots.txt?,5405
How many urls return a 5xx server code for their robots.txt?,81
How many urls' robots.txt are text files?,5443
How many urls' robots.txt are another file type?,9520
How many urls' robots.txt file size were detected?,6054
How many urls' robots.txt have a crawl_delay?,550
How many urls' robots.txt link to sitemaps?,1935
How many urls have a sitemap.xml detected?,2145
How many urls return a 2xx server code for their sitemap.xml?,6382
How many urls return a 3xx server code for their sitemap.xml?,0
How many urls return a 4xx server code for their sitemap.xml?,62
How many urls return a 5xx server code for their sitemap.xml?,1
How many urls' sitemap.xml file size were detected?,2169
How many urls' sitemap.xml are xml files?,2031
How many urls' sitemap.xml are another file type?,2031
How many urls' sitemap.xml have an item count?,2169
How many urls' sitemap.xml have a pdf count?,2169
How many urls have an AAAA record (a.k.a. are likely IPv6 compliant)?,10610
How many urls do not have an AAAA record (a.k.a. are likely not IPv6 compliant)?,4353
How many urls have third party services?,11658
How many urls have 1-5 third party services?,6460
How many urls have 6-10 third party services?,3163
How many urls have 11-20 third party services?,1729
How many urls have over 20 third party services?,381
