metric,value
"Live, Production, Unique Websites",9091
Agencies,130
DAP_websites,3827
DAP_agencies,78
uswds_websites,1180
uswds_agencies,65
cloud.gov_websites,73
cloud.gov_agencies,10
cloud.gov-pages_websites,46
cloud.gov-pages_agencies,13
login.gov_websites,62
login.gov_agencies,19
logins,1269
logins_agencies,68
search.gov_websites,699
search.gov_agencies,38
search_websites,3670
search_agencies,109
touchpoints_websites,75
touchpoints_agencies,14
data.gov_websites,868
data.gov_agencies,50
api.data.gov_endpoints,663
api.data.gov_agencies,25
