question,answer
How many urls did we scan?,13246
How many agency owners are represented?,138
How many bureau owners are represented?,488
How many domains did we scan?,985
How many final urls are represented?,13246
How many final domains are represented?,875
How many urls are from the executive branch?,12603
How many urls are from the legislative branch?,582
How many urls are from the judicial branch?,61
How many home scans completed?,13246
How many home scans failed?,0
How many home scans failed because of a refused connection?,0
How many home scans failed because of a reset connection?,0
How many home scans failed because of dns resolution?,0
How many home scans failed because of invalid ssl certs?,0
How many home scans failed because of timeouts?,0
How many home scans failed for unknown reasons?,0
How many final urls are html files?,13154
How many final urls are text files?,10
How many final urls are json files?,0
How many final urls are xml files?,0
How many final urls are another filetype?,82
How many urls return a 2xx server code?,13246
How many urls return a 3xx server code?,0
How many urls return a 4xx server code?,0
How many urls return a 5xx server code?,0
How many urls pass the 404 test?,8386
How many urls fail the 404 test?,4619
How many not found scans completed?,13005
How many not found scans failed?,241
How many robots.txt scans completed?,12869
How many robots.txt scans failed?,377
How many sitemap.xml scans completed?,13058
How many sitemap.xml scans failed?,188
How many DNS scans completed?,13246
How many DNS scans failed?,0
How many urls have a uswds count below 50?,10729
How many urls have a uswds count 51-100?,1121
How many urls have a uswds count 101-150?,454
How many urls have a uswds count 151+?,932
How many urls have dap detected?,5960
How many urls don't have dap detected?,7286
How many urls weren't scanned for DAP (failed scans)?,0
How many urls have an og_title?,3438
How many urls have an og_description?,2565
How many urls have an og_title but don't have an og_description?,893
How many urls have an og_description but don't have an og_title?,20
How many urls have an og_article_published?,210
How many urls have an og_article_modified?,595
How many urls have a main_element_present?,4851
How many urls don't have main_element_present_final_url?,8395
How many urls have a robots.txt detected?,5423
How many urls return a 2xx server code for their robots.txt?,7790
How many urls return a 3xx server code for their robots.txt?,0
How many urls return a 4xx server code for their robots.txt?,5007
How many urls return a 5xx server code for their robots.txt?,72
How many urls' robots.txt are text files?,4863
How many urls' robots.txt are another file type?,8383
How many urls' robots.txt file size were detected?,5481
How many urls' robots.txt have a crawl_delay?,469
How many urls' robots.txt link to sitemaps?,1727
How many urls have a sitemap.xml detected?,2044
How many urls return a 2xx server code for their sitemap.xml?,5808
How many urls return a 3xx server code for their sitemap.xml?,1
How many urls return a 4xx server code for their sitemap.xml?,7158
How many urls return a 5xx server code for their sitemap.xml?,91
How many urls' sitemap.xml file size were detected?,2069
How many urls' sitemap.xml are xml files?,2001
How many urls' sitemap.xml are another file type?,2001
How many urls' sitemap.xml have an item count?,2069
How many urls' sitemap.xml have a pdf count?,2069
How many urls have an AAAA record (a.k.a. are likely IPv6 compliant)?,9309
How many urls do not have an AAAA record (a.k.a. are likely not IPv6 compliant)?,3937
How many urls have third party services?,10167
How many urls have 1-5 third party services?,5861
How many urls have 6-10 third party services?,2654
How many urls have 11-20 third party services?,1428
How many urls have over 20 third party services?,285
