question,answer
How many urls did we scan?,15053
How many agency owners are represented?,137
How many bureau owners are represented?,445
How many domains did we scan?,844
How many final urls are represented?,15053
How many final domains are represented?,923
How many urls are from the executive branch?,14218
How many urls are from the legislative branch?,727
How many urls are from the judicial branch?,100
How many home scans completed?,15052
How many home scans failed?,1
How many home scans failed because of a refused connection?,0
How many home scans failed because of a reset connection?,0
How many home scans failed because of dns resolution?,1
How many home scans failed because of invalid ssl certs?,0
How many home scans failed because of timeouts?,0
How many home scans failed for unknown reasons?,0
How many final urls are html files?,14446
How many final urls are text files?,237
How many final urls are json files?,108
How many final urls are xml files?,22
How many final urls are another filetype?,240
How many urls return a 2xx server code?,10854
How many urls return a 3xx server code?,1
How many urls return a 4xx server code?,3573
How many urls return a 5xx server code?,622
How many urls pass the 404 test?,8779
How many urls fail the 404 test?,6274
How many not found scans completed?,15053
How many not found scans failed?,0
How many robots.txt scans completed?,14978
How many robots.txt scans failed?,75
How many sitemap.xml scans completed?,14855
How many sitemap.xml scans failed?,198
How many DNS scans completed?,15053
How many DNS scans failed?,0
How many urls have a uswds count below 50?,13320
How many urls have a uswds count 51-100?,844
How many urls have a uswds count 101-150?,298
How many urls have a uswds count 151+?,576
How many urls have dap detected?,4545
How many urls don't have dap detected?,10507
How many urls weren't scanned for DAP (failed scans)?,1
How many urls have an og_title?,2121
How many urls have an og_description?,1532
How many urls have an og_title but don't have an og_description?,605
How many urls have an og_description but don't have an og_title?,16
How many urls have an og_article_published?,94
How many urls have an og_article_modified?,497
How many urls have a main_element_present?,3546
How many urls don't have main_element_present_final_url?,11504
How many urls have a robots.txt detected?,5815
How many urls return a 2xx server code for their robots.txt?,6663
How many urls return a 3xx server code for their robots.txt?,0
How many urls return a 4xx server code for their robots.txt?,7678
How many urls return a 5xx server code for their robots.txt?,637
How many urls' robots.txt are text files?,5397
How many urls' robots.txt are another file type?,9656
How many urls' robots.txt file size were detected?,6119
How many urls' robots.txt have a crawl_delay?,567
How many urls' robots.txt link to sitemaps?,1859
How many urls have a sitemap.xml detected?,2266
How many urls return a 2xx server code for their sitemap.xml?,4280
How many urls return a 3xx server code for their sitemap.xml?,1
How many urls return a 4xx server code for their sitemap.xml?,9888
How many urls return a 5xx server code for their sitemap.xml?,686
How many urls' sitemap.xml file size were detected?,2411
How many urls' sitemap.xml are xml files?,2176
How many urls' sitemap.xml are another file type?,2176
How many urls' sitemap.xml have an item count?,2411
How many urls' sitemap.xml have a pdf count?,2411
How many urls have an AAAA record (a.k.a. are likely IPv6 compliant)?,10469
How many urls do not have an AAAA record (a.k.a. are likely not IPv6 compliant)?,4584
How many urls have third party services?,8547
How many urls have 1-5 third party services?,5204
How many urls have 6-10 third party services?,2205
How many urls have 11-20 third party services?,974
How many urls have over 20 third party services?,187
