Group,count,Agencies,semantic version,Agencies_sv,v1.x,Agencies_v1,v2.x,Agencies_v2,v3.x,Agencies_v3,banner,Agencies_banner,usa-class,Agencies_usa_class
All sites scanned,12605,133,1078,42,26,12,495,19,493,36,2298,68,3534,79
All live sites,12605,133,1078,42,26,12,495,19,493,36,2298,68,3534,79
"All live, filtered sites",12605,133,1078,42,26,12,495,19,493,36,2298,68,3534,79
"All live, filtered, non-redirecting sites",8720,131,583,39,20,11,135,18,396,35,1207,62,1790,75
Executive sites scanned,11642,111,1076,40,26,12,495,19,491,34,2289,66,3521,74
Executive live sites,11642,111,1076,40,26,12,495,19,491,34,2289,66,3521,74
"Executive live, filtered sites",11642,111,1076,40,26,12,495,19,491,34,2289,66,3521,74
"Executive live, filtered, non-redirecting sites",7842,109,581,37,20,11,135,18,394,33,1200,60,1780,70
Legislative sites scanned,824,16,0,0,0,0,0,0,0,0,0,0,4,3
Legislative live sites,824,16,0,0,0,0,0,0,0,0,0,0,4,3
"Legislative live, filtered sites",824,16,0,0,0,0,0,0,0,0,0,0,4,3
"Legislative live, filtered, non-redirecting sites",743,16,0,0,0,0,0,0,0,0,0,0,3,3
Judicial sites scanned,136,5,2,2,0,0,0,0,2,2,9,2,9,2
Judicial live sites,136,5,2,2,0,0,0,0,2,2,9,2,9,2
"Judicial live, filtered sites",136,5,2,2,0,0,0,0,2,2,9,2,9,2
"Judicial live, filtered, non-redirecting sites",133,5,2,2,0,0,0,0,2,2,7,2,7,2
IDEA sites scanned,5820,70,563,30,19,11,208,17,307,24,992,45,1611,53
IDEA live sites,5820,70,563,30,19,11,208,17,307,24,992,45,1611,53
"IDEA live, filtered sites",5820,70,563,30,19,11,208,17,307,24,992,45,1611,53
"IDEA live, filtered, non-redirecting sites",4940,67,420,28,17,10,99,17,278,23,780,42,1221,50
